Date,KO Forecast,PEP Forecast,MNST Forecast
2026-05-01,76.184616,152.96089,69.70859
2026-05-04,76.2564,153.76009,69.14221
2026-05-05,76.2255,154.41704,68.49193
2026-05-06,76.20088,154.97354,67.80246
2026-05-07,76.21234,155.45355,67.10339
2026-05-08,76.26275,155.87402,66.413864
2026-05-11,76.34516,156.24742,65.74589
2026-05-12,76.45052,156.58315,65.10666
2026-05-13,76.57116,156.88849,64.500084
2026-05-14,76.70195,157.16902,63.92782
