Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP,PEP
Date,,,,,,
2021-03-31,121.12174987792969,141.4499969482422,143.3300018310547,141.1699981689453,143.32000732421875,6257900
2021-04-01,120.9761734008789,141.27999877929688,142.3000030517578,140.11000061035156,141.19000244140625,4823400
2021-04-05,122.58601379394531,143.16000366210938,144.33999633789062,141.32000732421875,141.85000610351562,5980700
2021-04-06,123.0227279663086,143.6699981689453,144.1999969482422,142.55999755859375,143.0399932861328,4751900
2021-04-07,122.80008697509766,143.41000366210938,144.10000610351562,143.02000427246094,144.0,4849200
2021-04-08,122.05511474609375,142.5399932861328,144.16000366210938,142.0500030517578,143.67999267578125,6725100
2021-04-09,122.08078002929688,142.57000732421875,143.13999938964844,141.61000061035156,142.24000549316406,4950800
2021-04-12,122.46613311767578,143.02000427246094,143.47000122070312,142.0500030517578,142.1999969482422,4386700
2021-04-13,122.49180603027344,143.0500030517578,143.97000122070312,141.8699951171875,142.07000732421875,5283300
2021-04-14,121.6869125366211,142.11000061035156,142.72000122070312,141.24000549316406,142.57000732421875,4685300
2021-04-15,121.85816955566406,142.30999755859375,143.10000610351562,141.4199981689453,141.6699981689453,4777100
2021-04-16,123.44232177734375,144.16000366210938,144.32000732421875,142.4600067138672,143.4600067138672,6481400
2021-04-19,123.9474868774414,144.75,145.60000610351562,143.25999450683594,144.49000549316406,6621200
2021-04-20,124.76953887939453,145.7100067138672,146.64999389648438,143.92999267578125,144.1300048828125,4999700
2021-04-21,125.8570327758789,146.97999572753906,147.8000030517578,146.2100067138672,147.35000610351562,6316000
2021-04-22,125.07779693603516,146.07000732421875,146.64999389648438,145.3800048828125,146.24000549316406,4904400
2021-04-23,124.872314453125,145.8300018310547,146.33999633789062,145.05999755859375,145.50999450683594,4354700
2021-04-26,122.75725555419922,143.36000061035156,145.77000427246094,142.97999572753906,145.5500030517578,5817700
2021-04-27,122.3548355102539,142.88999938964844,143.17999267578125,142.1300048828125,142.6199951171875,4693700
2021-04-28,121.4471664428711,141.8300018310547,143.69000244140625,141.72999572753906,143.49000549316406,4962700
2021-04-29,123.25390625,143.94000244140625,144.42999267578125,141.97000122070312,142.10000610351562,4699900
2021-04-30,123.44232177734375,144.16000366210938,144.24000549316406,142.5,143.32000732421875,5051100
2021-05-03,124.83805847167969,145.7899932861328,146.77999877929688,144.10000610351562,145.02999877929688,6109800
2021-05-04,123.27102661132812,143.9600067138672,146.77000427246094,143.49000549316406,145.97999572753906,6603800
2021-05-05,123.21111297607422,143.88999938964844,144.57000732421875,143.5,143.72000122070312,5305200
2021-05-06,124.6410903930664,145.55999755859375,145.9600067138672,144.00999450683594,144.47000122070312,4472200
2021-05-07,124.6410903930664,145.55999755859375,146.0,144.57000732421875,145.22999572753906,4181000
2021-05-10,125.63438415527344,146.72000122070312,147.99000549316406,146.11000061035156,146.49000549316406,5270600
2021-05-11,124.7181396484375,145.64999389648438,147.63999938964844,145.02000427246094,147.1699981689453,5266100
2021-05-12,123.50222778320312,144.22999572753906,145.74000549316406,143.85000610351562,144.8800048828125,5651700
2021-05-13,125.33468627929688,146.3699951171875,147.1199951171875,143.5800018310547,144.24000549316406,4849400
2021-05-14,125.52308654785156,146.58999633789062,147.89999389648438,146.4199981689453,147.1999969482422,4224700
2021-05-17,125.16342163085938,146.1699981689453,147.39999389648438,145.7100067138672,147.0,3747100
2021-05-18,124.59829711914062,145.50999450683594,146.9499969482422,145.32000732421875,146.63999938964844,4527300
2021-05-19,124.5297622680664,145.42999267578125,145.6300048828125,144.0800018310547,144.63999938964844,4432700
2021-05-20,126.07109069824219,147.22999572753906,147.72999572753906,145.11000061035156,145.25,3964600
2021-05-21,125.9598159790039,147.10000610351562,148.30999755859375,146.52000427246094,147.8699951171875,5194200
2021-05-24,126.60201263427734,147.85000610351562,148.35000610351562,147.00999450683594,147.63999938964844,3627800
2021-05-25,126.98731994628906,148.3000030517578,148.3699951171875,147.00999450683594,147.85000610351562,4649300
2021-05-26,126.98731994628906,148.3000030517578,148.6699981689453,147.67999267578125,147.91000366210938,4462600
2021-05-27,125.45457458496094,146.50999450683594,148.77000427246094,146.44000244140625,148.55999755859375,9203600
2021-05-28,126.67906188964844,147.94000244140625,148.5,147.24000549316406,147.41000366210938,4913700
2021-06-01,126.41364288330078,147.6300048828125,148.85000610351562,147.08999633789062,148.77999877929688,5530300
2021-06-02,126.91879272460938,148.22000122070312,148.52999877929688,147.22999572753906,148.1999969482422,4546900
2021-06-03,127.37168884277344,147.6699981689453,147.75999450683594,146.16000366210938,146.7100067138672,4651600
2021-06-04,127.5182876586914,147.83999633789062,148.58999633789062,147.47000122070312,148.0,4427400
2021-06-07,127.4406509399414,147.75,148.25,146.7100067138672,147.75999450683594,4724100
2021-06-08,126.25035095214844,146.3699951171875,147.8699951171875,145.9199981689453,147.6999969482422,5997200
2021-06-09,126.01747131347656,146.10000610351562,147.58999633789062,146.02000427246094,147.25,4008000
2021-06-10,127.31128692626953,147.60000610351562,148.00999450683594,146.1300048828125,146.30999755859375,4698200
2021-06-11,127.38892364501953,147.69000244140625,148.1199951171875,146.7899932861328,148.0500030517578,4364600
2021-06-14,128.14791870117188,148.57000732421875,148.6300048828125,146.7899932861328,147.47000122070312,3831900
2021-06-15,128.15658569335938,148.5800018310547,149.1699981689453,148.07000732421875,148.89999389648438,4256500
2021-06-16,126.88005065917969,147.10000610351562,149.27000427246094,146.75,148.86000061035156,5492100
2021-06-17,128.10482788085938,148.52000427246094,149.0,146.91000366210938,147.25,5316400
2021-06-18,125.43091583251953,145.4199981689453,147.97999572753906,145.22999572753906,147.97999572753906,10661700
2021-06-21,126.41423797607422,146.55999755859375,146.74000549316406,145.4499969482422,145.75,4904300
2021-06-22,126.60396575927734,146.77999877929688,147.5,146.2899932861328,146.72999572753906,3518000
2021-06-23,124.93927764892578,144.85000610351562,146.1300048828125,144.8300018310547,146.05999755859375,3901700
